File Path,Line Number,Column,Error Code,Short Description,Full Description,Suggested Fix,Category,Severity
"src/components/MessageWithThinking.tsx",694,30,"TS2339","Property 'error' does not exist on type","Property 'error' does not exist on type '{ id: string; name: string; arguments: Record<string, unknown>; }'","Add 'error' property to the type definition or use type assertion/optional chaining (?.error)","Missing Property","error"
"src/components/MessageWithThinking.tsx",699,34,"TS2339","Property 'error' does not exist on type","Property 'error' does not exist on type '{ id: string; name: string; arguments: Record<string, unknown>; }'","Add 'error' property to the type definition or use type assertion/optional chaining (?.error)","Missing Property","error"
"src/components/MessageWithThinking.tsx",703,35,"TS2339","Property 'error' does not exist on type","Property 'error' does not exist on type '{ id: string; name: string; arguments: Record<string, unknown>; }'","Add 'error' property to the type definition or use type assertion/optional chaining (?.error)","Missing Property","error"
"src/components/MessageWithThinking.tsx",708,31,"TS2339","Property 'result' does not exist on type","Property 'result' does not exist on type '{ id: string; name: string; arguments: Record<string, unknown>; }'","Add 'result' property to the type definition or use type assertion/optional chaining (?.result)","Missing Property","error"
"src/components/MessageWithThinking.tsx",719,37,"TS2339","Property 'result' does not exist on type","Property 'result' does not exist on type '{ id: string; name: string; arguments: Record<string, unknown>; }'","Add 'result' property to the type definition or use type assertion/optional chaining (?.result)","Missing Property","error"
"src/components/MessageWithThinking.tsx",776,49,"TS2339","Property 'error' does not exist on type","Property 'error' does not exist on type '{ id: string; name: string; arguments: Record<string, unknown>; }'","Add 'error' property to the type definition or use type assertion/optional chaining (?.error)","Missing Property","error"
"src/components/MessageWithThinking.tsx",777,35,"TS2339","Property 'error' does not exist on type","Property 'error' does not exist on type '{ id: string; name: string; arguments: Record<string, unknown>; }'","Add 'error' property to the type definition or use type assertion/optional chaining (?.error)","Missing Property","error"
"src/services/providers/AnthropicProvider.ts",1051,53,"TS2552","Cannot find name 'settings'","Cannot find name 'settings'. Did you mean '_settings'?","Change 'settings' to '_settings' as suggested by TypeScript compiler","Variable Name","error"
"src/services/settingsService.ts",324,7,"TS2741","Missing required property 'jan'","Property 'jan' is missing in type '{ openai: { lastSelectedModel: string; }; anthropic: { lastSelectedModel: string; }; gemini: { lastSelectedModel: string; }; mistral: { lastSelectedModel: string; }; deepseek: { lastSelectedModel: string; }; ... 7 more ...; n8n: { ...; }; }' but required in type 'ProvidersConfig'","Add the missing 'jan' property to the ProvidersConfig object with appropriate default values","Missing Required Property","error"
"src/tests/settingsReloadBehavior.test.ts",93,11,"TS2741","Missing required property 'jan'","Property 'jan' is missing in type '{ openai: { lastSelectedModel: string; }; anthropic: { lastSelectedModel: string; }; gemini: { lastSelectedModel: string; }; mistral: { lastSelectedModel: string; }; deepseek: { lastSelectedModel: string; }; ... 7 more ...; n8n: { ...; }; }' but required in type 'ProvidersConfig'","Add the missing 'jan' property to the test configuration object with appropriate test values","Missing Required Property","error"
